Kosten Aqua,Charakter Pipeline,Element,Kartenart,⭕️,Kartentext,Kartentyp,Design Skelett,Kosten Ignis,ID,Erstellungsdatum,⚔️,Flavourtext,Erstellt von,Kosten Ungeprägt,Idee Brackground,🛡️,Slot zugewiesen,Status,Kosten Aeris,Einzigartig,Set Release,Kartentext-Planung,Kosten Terra,Kosten Magica,Letzte Änderung,Rarität,Name,PageID,Row_Hash
1.0,[],[],[],,"<ability>Sofort spielbar</ability> <desc>Du darfst <self>mich</self> jederzeit spielen.</desc>
Verhindere allen <key>Schaden</key>, der einem <kind>Charakter</kind> Deiner Wahl in dieser <key>Phase</key> zugefügt wird.",[],[],,168,2023-11-27T11:33:00.000Z,,In ihrer trügerischen Tiefe und flüsternden Strömung birgt sie ein stiller Quell der Heilung.,938edbfe-c6a0-4a7c-836a-d922df505f98,1,[],,True,TCG Arena,,False,[],"Sofort spielbar
Verhindere allen Schaden, der einem Charakter deiner Wahl in dieser Phase zugefügt wird.",,,2026-01-09T19:52:00.000Z,Common,Aqua-Kraftkugel,03898d69-85d8-4153-af49-1ed1a76ce493,3418873786
,[],[],[],,,[],[],,417,2024-06-04T20:21:00.000Z,-/-,,9cdffd73-9e9c-43b8-a9e5-754524c97de8,6,['Vittel'],-/-,False,Backup,,True,[],"Kultist
Einzigartig
Wenn dieser Charakter das Feld betritt übernimm die Kontrolle über einen Charakter, lege “Joseph Curwen”  unter diese Karte. Stirbt der Charakter werden beide Karten in den Friedhof ihres Besitzers gelegt.",,,2025-08-10T18:23:00.000Z,,Joseph Curwen,03e09e37-1cb4-49cb-b597-b6e98d671a2a,29272267
,[],[],[],,,[],[],,326,2024-02-14T21:17:00.000Z,5,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],20,False,Backup,,False,[],"Zu begnn deines Zuges kannst du den GGT Ultra opfern. Wenn du das tust, darfst du einen Charakter deiner Wahl zerstören.",,,2025-08-10T18:22:00.000Z,,GGT Ultra,048a1d4a-e3ad-47ed-82b3-f505d2962420,7468268119
,[],[],[],,,[],[],,128,2023-10-22T19:09:00.000Z,,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,,['Erste Ideen'],,False,Backup,,False,[],Untitled,,,2025-08-10T18:21:00.000Z,,Terras Balg ,05d8e0d5-fe15-4111-9b38-5a00e01312ef,3548340663
,[],[],[],1.0,,[],[],,206,2023-11-27T12:31:00.000Z,,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],,False,Backup,,False,[],Bestimme einen Angreifer und entferne diesen aus dem Kampf,,,2025-08-10T18:22:00.000Z,,Prunkvoller Magicaschrein,0622d6fe-0bb0-4fc3-ba5e-9da5a69f38ec,8622478115
,[],[],[],,,[],[],,176,2023-11-27T11:44:00.000Z,,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],,False,Backup,,False,[],"Wirf X Karten ab, dann ziehe X + 1 neue Karten",,,2025-08-10T18:22:00.000Z,,Windstoß,076c1458-20d6-4ad6-9ce7-4cfe62b0f531,2194839320
,[],[],[],,,[],[],,86,2023-09-14T19:56:00.000Z,,,64d6852f-afd2-42dc-be8d-a52c7535ed01,,['Erste Ideen'],,False,Backup,,False,[],Untitled,,,2025-08-10T18:21:00.000Z,,"Wie du mir, so ich dir",076c8235-075b-4065-bcda-c2d6f73e0d5d,4033451233
,[],[],[],,,[],[],,429,2024-06-10T12:07:00.000Z,0/5,,9cdffd73-9e9c-43b8-a9e5-754524c97de8,2,['Vittel'],5/5,False,Backup,,True,[],"Monster
Einzigartig
Nachschub",,,2025-08-10T18:23:00.000Z,,Brown Jenkins,07be1a85-897f-4488-8ab4-678f319fbe5c,3561165122
,[],[],[],,,[],[],,287,2023-12-18T20:31:00.000Z,25,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],20,False,Backup,,False,[],"Enzigartig, Yoah-Tan, Magier, Amaroqianer
Zu Beginn deines Zuges kannst du einen anderen Charakter opfern. Wenn du dies tust, ziehe eine Karte",,,2025-08-10T18:22:00.000Z,,Sirka Sorlissos (Alt),08244cfe-5acb-4e92-bbca-3ccfe95959fc,7479269157
,[],[],[],,,[],[],,36,2023-09-09T12:18:00.000Z,0,,87776999-89a3-4cbd-a16c-13b2b242d37e,,['Erste Ideen'],40,False,Backup,,False,[],Wenn der ,,,2025-08-10T18:21:00.000Z,,Jungbrunnen,09524568-d6ff-4fa4-bf04-ac56bcb0fefd,4735172028
,[],[],[],,,[],[],,426,2024-06-10T12:03:00.000Z,30/30,,9cdffd73-9e9c-43b8-a9e5-754524c97de8,3,['Vittel'],30/30,False,Backup,,False,[],Monster,,,2025-08-10T18:23:00.000Z,,Mi-Go,09adba25-6bcd-42a2-bf28-6ba3213f6164,9227628774
,[],[],[],1.0,,[],[],,204,2023-11-27T12:27:00.000Z,,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],,False,Backup,,False,[],Füge zu Beginn des Kampfes einem angreifenden Charakter 25 Schaden zu,,,2025-08-10T18:22:00.000Z,,Prunkvoller Ignisschrein,0a9d70be-4935-41b4-a03e-a40ae53f151e,2404911512
,[],[],[],,,[],[],,233,2023-11-27T13:11:00.000Z,20,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],35,False,Backup,,False,[],"Elementarvolk, Eliondar",,,2025-08-10T18:22:00.000Z,,Eliondar,0dd01d0a-a4b6-40df-9115-071f47df0231,1301922016
,[],[],[],,,[],[],,228,2023-11-27T13:05:00.000Z,,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],,False,Backup,,False,[],"Sofort Spielbar,
Bringe eine Charakterkarte zurück auf die Hand ihres Besitzers",,,2025-08-10T18:22:00.000Z,,Schneller Stoß,0e5fd62e-7d1e-42cd-aa7d-6b229a270f6d,2620687539
1.0,[],[],[],,<ability>Sofort spielbar</ability> <desc>Du darfst <self>mich</self> jederzeit spielen.</desc>,[],[],,66,2023-09-10T00:44:00.000Z,5/5,,87776999-89a3-4cbd-a16c-13b2b242d37e,1,[],0/10,True,TCG Arena,,False,[],Sofort spielbar,,,2025-10-27T15:38:00.000Z,Common,Grauer Stummfisch,0f8e57a0-f9a4-4b2c-9dd3-67573aab58ec,6172896635
,[],[],[],,,[],[],,303,2024-02-14T20:41:00.000Z,10/10,,938edbfe-c6a0-4a7c-836a-d922df505f98,,[],10/10,False,Backup,,False,[],Gildenmitglied,,,2024-10-27T09:47:00.000Z,,Vertreter der Zeitungsgilde,123f598e-6bd9-4a7d-8592-b55f072f593a,9024621144
,[],[],[],,,[],[],,141,2023-10-29T13:00:00.000Z,40,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,,[],25,False,Backup,,False,[],,,,2023-11-23T20:39:00.000Z,,Roter Wildfuchs,13ebcce1-32db-4ac7-aac3-b14f112b5db4,3773747831
,[],[],[],,,[],[],,123,2023-09-24T14:00:00.000Z,0,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,,['Erste Ideen'],55,False,Backup,,False,[],Bezahle ein ,,,2025-08-10T18:21:00.000Z,,Besungener Baum Fraxinus,1428c50e-aa6f-4fb4-b519-9ae37e71b4a2,2108324847
,[],[],[],1.0,"Alle Deine <kind>Charaktere</kind> und <kind>Manifestationen</kind> auf dem <zone>Feld</zone> mit mindestens 1 <key>Bannkreis</key> können nicht von <kind>Ereignissen</kind> und <kind>Fähigkeiten</kind>, die du nicht kontrollierst, als <key>Ziel</key> gewählt werden.",[],[],,464,2024-11-20T15:41:00.000Z,,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,3,[],,True,Export,,False,[],"Alle deine Charaktere und Manifestationen auf dem Feld mit einem Bannkreis können nicht von Ereignissen und Fähigkeiten, von Karten die du nicht kontrollierst, als Ziel gewählt werden. ",,2.0,2026-01-06T22:27:00.000Z,Uncommon,Pekars Segen,14495bba-56ba-80c2-91d1-f6b5be8cbfa6,255939445
,[],[],[],,"<self>Ich</self> kann nicht alleine <key>angreifen</key>. Wenn <self>ich</self> <key>angreife</key>, erhalten alle anderen <key>angreifenden</key> Charaktere bis <key>Zugende</key> <stats>+10/+10</stats>. <kind>Charaktere</kind> mit <key>Stärkewert</key> <stat>0</stat> dürfen <key>Angriffe</key> <key>deklarieren</key>.",[],[],,273,2023-12-18T19:35:00.000Z,30/40,"“Gemeinsam entfesseln wir den Sturm, der die Verfemten verschlingen wird.”",938edbfe-c6a0-4a7c-836a-d922df505f98,2,[],30/40,True,TCG Arena,2.0,True,[],"Einzgartig
Ich kann nicht alleine angreifen.
Wenn ich angreife, erhalten alle anderen Angreifer +10/+10 bis zum ende des Zuges.
Charaktere mit Stärkewert “0” dürfen angriffe deklarieren.",,,2025-10-27T15:38:00.000Z,,"Meléthin, die stürmische Gefährtin",1575c35f-6fcd-490a-9808-1010eef3ddf9,5466254460
,[],[],[],,"<key>Ziehe</key> eine <key>Karte</key>.
Du darfst in diesem <key>Zug</key> eine zusätzliche <key>Elementarkarte</key> legen.",[],[],,213,2023-11-27T12:44:00.000Z,,"Der Sand der Zeit öffnet nicht nur Pfade in die Zukunft – er lässt uns auch erkennen, wie viel Potenzial schon in einem einzigen Augenblick steckt.",938edbfe-c6a0-4a7c-836a-d922df505f98,1,[],,True,TCG Arena,2.0,False,[],"Ziehe eine Karte.
Du darfst in diesem Zug eine zusätzliche Elementarkarte legen.",,,2025-10-27T22:23:00.000Z,Common,Zeitspiel,178ac6ed-e61b-4134-a023-b4cfc0253722,8830427556
,[],[],[],,,[],[],,99,2023-09-14T20:51:00.000Z,20,,64d6852f-afd2-42dc-be8d-a52c7535ed01,,['Erste Ideen'],40,False,Backup,,False,[],Immer wenn ,,,2025-08-10T18:21:00.000Z,,Brandeisenschmied,195f78aa-5bbe-42e6-b22c-e3371b769d1c,9298450176
,[],[],[],,,[],[],,33,2023-09-09T12:14:00.000Z,0,,87776999-89a3-4cbd-a16c-13b2b242d37e,,['Erste Ideen'],20,False,Backup,,False,[],Untitled,,,2025-08-10T18:21:00.000Z,,Versiegter Brunnen,19665096-f59e-4daa-90d4-5da2ca4cd6db,6432448324
,[],[],[],,,[],[],,314,2024-02-14T21:04:00.000Z,20,,938edbfe-c6a0-4a7c-836a-d922df505f98,,['Erste Ideen'],5,False,Backup,,False,[],,,,2025-08-10T18:22:00.000Z,,Wächter aus  Ignistrutz,19c2a69a-81dd-4941-a9c5-5fa0a654b7e4,5224016992
,[],[],[],,,[],[],,151,2023-11-05T11:19:00.000Z,45,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,,[],20,False,Backup,,False,[],Untitled,,,2023-11-23T20:39:00.000Z,,Vasalö Terras,19eb5fb0-1da8-4aec-88c5-8c4a62f00042,9285871727
,[],[],[],,,[],[],,9,2023-08-27T14:52:00.000Z,,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,,['Erste Ideen'],,False,Backup,,False,[],Suche einen ,,,2025-08-10T18:21:00.000Z,,Lieblicher Lautenklang der Baumsängerinnen,19ff5953-dba3-4261-b6ec-8f7264fa93f7,8419422593
,[],[],[],,"Wenn ich eine Karte zerstöre, lege einen Bannkreis auf mich.",[],[],,376,2024-03-31T08:03:00.000Z,30/30,,b2c31dd8-6b8b-45b6-a112-46d0b40a900e,3,[],30/30,True,Export,,False,[],"Wenn ich eine Karte zerstöre, lege einen Bannkreis auf mich.",,1.0,2026-01-06T21:25:00.000Z,Uncommon,Stürmische Zauberin,1a0546ba-707b-4893-8474-2c421d4620e4,1061736713
,[],[],[],,,[],[],,468,2025-03-03T17:01:00.000Z,15/20,,9cdffd73-9e9c-43b8-a9e5-754524c97de8,2,[],15/20,True,Export,,True,[],"Flankieren (wenn ich einen Charakter in Verteidigungshaltung angreife erhalte ich +20/+0)
Wenn ich das Schlachtfeld betrete und du Babette E.Y. MacMetth kontrollierst, darft du eienen Bannkreis deiner Wahl zerstören.",2.0,,2025-12-20T13:46:00.000Z,Uncommon,Janthe O'Leary,1ab95bba-56ba-804c-835c-fa0d89d9b8e1,8604193095
,[],[],[],,,[],[],,467,2025-03-03T16:46:00.000Z,15/20,,9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],15/20,True,Export,,True,[],"4,T,opt;
Ein Magier oder oder eine Karte mit einem Bannkreis deiner Wahl wird unter das Deck seines Besitzers gelegt. Sein Besitzer deckt dann die oberste Karte seines Decks auf. Ist es ein Charakter oder eine Manifestation wird sie ins Feld gelegt. Sonst auf das Deck.
Dieser Effekt kostet 2 weniger wenn du Janthe O'Leary kontrollierst.",2.0,,2025-12-20T13:46:00.000Z,Uncommon,Babette E.Y. MacMetth,1ab95bba-56ba-80f0-a4c7-f59eec2de9da,2415074647
2.0,[],[],[],,"<cost><opt/></cost> Ein befreundeter <kind>Charakter</kind> Deiner Wahl erhält einen <key>Bannkreis</key>. Wirf als <key>Kosten</key> eine <key>Münze</key>. Bei <key>Kopf</key> erhält der <kind>Charakter</kind> bis <key>Zugende</key> <stats>-10/-10</stats>, bei <key>Zahl</key> fügt der <typ>Charakter</typ> einem anderen, <key>befreundeten</key> <kind>Charakter</kind> Deiner Wahl <key>Schaden</key> in Höhe seiner <key>Stärke</key> zu.",[],[],,466,2025-03-03T16:29:00.000Z,10/10,"Manchmal fragt sich Alvar, ob sein Streben nach Rettung nur eine Flucht vor der Angst ist, den König je enttäuschen zu können.",9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],10/10,True,TCG Arena,,True,[],"Einzigartig
opt;  Ein befreundeter Charakter deiner Wahl erhält ein Gottesschild. Wirf eine Münze, bei Kopf erhält der Charakter -10/-10 bis Zugende, bei Zahl fügt der Charakter einem anderen befreundeten Charakter deiner Wahl schaden in höhe seiner Stärke zu.",,,2025-11-23T18:46:00.000Z,Uncommon,"Alvar, dem König sein Knecht",1ab95bba-56ba-80f4-aea9-f4cfc2dee624,8681019278
,[],[],[],,"Wenn <self>ich</self> das <zone>Feld</zone> verlasse und nicht durch einen <key>Kampf</key> <key>zerstört</key> werde, bringe <self>mich</self> zurück auf Dein <zone>Feld</zone>.",[],[],,469,2025-03-04T12:38:00.000Z,15/20,,9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],15/20,True,Playtest,,True,[],"Einzigartig,
Wenn ich das Feld verlasse und nicht durch einen Kampf zerstört würde, bringe mich auf dein Feld zurück.",2.0,,2025-10-26T16:55:00.000Z,,"Soldat Rian, James",1ac95bba-56ba-8003-9107-e116386f2b40,5583848757
,[],[],[],,<ability>Schildbrecher</ability> <desc>Überschüssiger <key>Schaden</key> an <key>Blockern</key> wird <self>meinem</self> ursprünglichen <key>Ziel</key> zugefügt.</desc>,[],[],,471,2025-03-05T12:04:00.000Z,65/65,"Seine Waffe entfesselt den reinen Grimm der Elemente, der die Verfemten zerschmettert.",9cdffd73-9e9c-43b8-a9e5-754524c97de8,4,[],65/65,False,Revision,3.0,True,[],"Einzigartig
Schildbrecher",,,2025-09-17T18:11:00.000Z,,"Eurestes, Archon des Südlichen Siegels ",1ad95bba-56ba-800a-987b-e59af5937e89,1820540989
,[],[],[],,"<typ>Soldaten</typ>, die Du <key>kontrollierst</key>, erhalten <stats>+15/+15</stats>.",[],[],,470,2025-03-05T11:58:00.000Z,55/55,"“Sich erheben von der Erde, bis das Schaf zum Wolfe werde!”",9cdffd73-9e9c-43b8-a9e5-754524c97de8,3,[],55/55,True,TCG Arena,,True,[],"Einzigartig
Soldaten die du kontrollierst erhalten +15/+15",3.0,,2025-10-27T15:38:00.000Z,,"Keroth, Thul'Heen des Südlichen Siegels ",1ad95bba-56ba-80ed-bfbf-fdf22849cc7a,5693352086
,[],[],[],,"Wenn ein <kind>Charakter</kind>, den Du <key>kontrollierst</key>, eine <key>Schildkarte</key> <key>zerstört</key>, <key>ziehe</key> eine <key>Karte</key>.",[],[],,472,2025-03-06T13:29:00.000Z,10/15,“Eure Belohnung? Die ist im Paragraph IV vertraglich geregelt.”,9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],10/15,True,TCG Arena,,True,[],"Einzigartig
Wenn ein Charakter, den du kontrollierst eine Schildkarte zerstört, ziehe eine Karte.",1.0,,2025-11-23T18:52:00.000Z,Uncommon,"Carmille, Beamtin der Hofkanzlei ",1ae95bba-56ba-8066-ab03-db68dd87dcae,3059086927
,[],[],[],,"Wenn <self>ich</self> das <zone>Feld</zone> <key>betrete</key>, platziere einen <key>Bannkreis</key> auf einem anderen, <key>befreundeten</key> <kind>Charakter</kind>.",[],[],,473,2025-03-06T13:39:00.000Z,15/15,"“Sowie die Brise die Asche verweht, bringt der Wind Linderung für jede Wunde.”",9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],15/20,True,TCG Arena,2.0,True,[],"Einzigartig
Wenn ich das Feld betrete, platziere eine Bannkreis auf einen anderen befreundeten Charakter.",,,2025-10-27T15:38:00.000Z,,"Laytja, Heilerin der Lüfte",1ae95bba-56ba-80c8-85b7-f6b2687b105a,1547660543
,[],[],[],,"Wenn <self>ich</self> das <zone>Feld</zone> <key>betrete</key>, ändere die <key>Kampfposition</key> von bis zu zwei anderen <kind>Charakteren</kind> Deiner Wahl. Falls Du einen <kind>Charakter</kind> vom <key>Typ</key> <typ>Magier</typ> und <key>Element</key> <ignis/> <key>kontrollierst</key>, füge den <key>Zielen</key> jeweils <damage>20</damage> <key>Schaden</key> zu.",[],[],,485,2025-03-10T10:33:00.000Z,20/25,"“Ich bin nicht Herrin des Windes, sondern seine Dienerin, denn nur wer loslässt, kann lernen, wie weit er getragen wird.”",9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],10/30,True,TCG Arena,2.0,True,[],"Einzigartig
Wenn ich das Feld betrete, ändere die Kampfposition von bis zu zwei Charakteren. Falls du einen Charakter vom Typ Magier mit dem Element Ignis Kontrolierst, fügen den Zielen jeweils 20 Schaden zu.",,,2025-10-27T15:38:00.000Z,,"Cherin, Aeris-Priesterin",1b295bba-56ba-8014-9171-c0c2c3b7e9cb,171749334
,[],[],[],,"<typ>Soldaten</typ>, die Du <key>ausspielst</key>, kosten <unshaped1/> weniger.",[],[],,479,2025-03-10T07:58:00.000Z,40/50,“Der Untote verspottet das Leben; meine Klinge erinnert ihn an den Tod.”,9cdffd73-9e9c-43b8-a9e5-754524c97de8,3,[],40/50,True,TCG Arena,,True,[],"Einzigartig
Soldaten die du kontrollierst kosten ein unbestimmtes Elementar weniger.",2.0,,2025-10-27T15:38:00.000Z,,"Sir Beolf, Leutnant des Südlichen Siegels",1b295bba-56ba-8015-853d-f5bb38a5aab4,9566247039
,[],[],[],,"<ability>Doppelblock</ability> <desc><self>Ich</self> darf zwei <key>Gegner</key> gleichzeitig <key>blocken</key>.</desc>
Ich halbiere die <key>Stärke</key> aller <typ>Charaktere</typ>, die von <self>mir</self> <key>geblockt</key> werden, bis <phase>Phasenende</phase>.",[],[],,489,2025-03-10T16:47:00.000Z,30/25,“Was zahlst du?!”,9cdffd73-9e9c-43b8-a9e5-754524c97de8,2,[],25/25,True,TCG Arena,,True,[],"Einzigartig
Doppelblock
Halbiere die Stärke von allen Charakteren die von mir geblockt werden.",3.0,,2025-10-27T15:38:00.000Z,,"Markus Morgenwind, Leibwächter",1b295bba-56ba-801e-8c85-d3f259cf010b,2245429931
,[],[],[],,"Wenn <self>ich</self> das <zone>Feld</zone> <key>betrete</key>, decke die obersten 3 <key>Karten</key> von Deinem <zone>Deck</zone> auf, lege eine davon in Deine <zone>Elementarzone</zone> und den Rest unter Dein <zone>Deck</zone>.",[],[],,475,2025-03-10T07:28:00.000Z,15/15,“Terra verzeiht vieles. Aber nie den Verrat am Kreislauf selbst.”,9cdffd73-9e9c-43b8-a9e5-754524c97de8,2,[],15/15,True,TCG Arena,,True,[],"Einzigartig
Wenn ich das Feld betrete, zeige die obersten drei Karten von deinem Deck auf, lege eine davon in deine Elementarzone den rest unter dein Deck.",2.0,,2025-11-23T18:53:00.000Z,Uncommon,"Sirka Sorlissos, Hüterin der Halephischen Wälder",1b295bba-56ba-804c-a20a-df70f3089c0b,4646621992
,[],[],[],,"Wenn <self>ich</self> das <zone>Feld</zone> <key>betrete</key>, wende <ability>2",[],[],,482,2025-03-10T08:15:00.000Z,30/30,“Ein guter Befehl rettet hundert Leben.”,9cdffd73-9e9c-43b8-a9e5-754524c97de8,2,[],30/30,True,TCG Arena,,True,[],"Einzigartig
Herbeirufen Soldat
Herbeirufen Soldat",3.0,,2025-10-27T15:38:00.000Z,,"Thulmann, Weibel der Armee Bjarturs",1b295bba-56ba-804d-8c09-de7795adc555,3219398135
,[],[],[],,"<ability>Ansturm</ability> <desc><self>Ich</self> darf in dem <key>Zug</key> <key>angreifen</key>, in dem <self>ich</self> auf das <zone>Feld</zone> gekommen bin.</desc>",[],[],2.0,480,2025-03-10T08:04:00.000Z,25/25,"“Schlag zuerst, denk später.”",9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],25/25,True,TCG Arena,,True,[],"Einzigartig
Ansturm",,,2025-10-27T15:38:00.000Z,Common,"Aselhelm, Knapporal der Schwarzen Lilie",1b295bba-56ba-8051-abd0-de3a0bf8b3d1,4614764157
,[],[],[],,"<cost><ignis/><unshaped1/></cost> Bis <phase>Zugende</phase> erhalte <self>ich</self> <stats>+20/+0</stats> und <ability>Unblockbar</ability>, solange <self>ich</self> einen <kind>Charakter</kind> <key>angreife</key>. <desc><self>Ich</self> kann nicht <key>geblockt</key> werden.</desc>",[],[],3.0,484,2025-03-10T10:12:00.000Z,30/50,"“Manchmal muss die Welt halt brennen, um gerettet zu werden.”",9cdffd73-9e9c-43b8-a9e5-754524c97de8,1,[],30/50,True,TCG Arena,,True,[],"Einzigartig
1,I; Ich erhalte +20/+0 und “unblockbar” bis Zugende solange ich einen Charakter angreife.",,,2025-12-06T10:33:00.000Z,Uncommon,"Eron von Grauenfurt, Ignis-Priester",1b295bba-56ba-8070-b95a-d8aca0adb095,1802293035
2.0,[],[],[],,"Wenn <self>ich</self> das <zone>Feld</zone> <key>betrete</key>, decke die obersten 3 <key>Karten</key> von Deinem <zone>Deck</zone> auf, lege eine davon in Deine <zone>Elementarzone</zone> und den Rest unter Dein <zone>Deck</zone>.",[],[],,486,2025-03-10T16:23:00.000Z,15/15,"Sarius’ Augen fliegen über die Zeilen – er hat schon eine Idee, wo er es auftreiben kann.",9cdffd73-9e9c-43b8-a9e5-754524c97de8,2,[],10/15,True,TCG Arena,,True,[],"Einzigartig
Wenn ich das Feld betrete, zeige die obersten drei Karten von deinem Deck auf, lege eine davon in deine Elementarzone den rest unter dein Deck.",,,2025-10-27T15:38:00.000Z,,"Sarius, Kundschafter der Hofkanzlei ",1b295bba-56ba-807a-8934-f6204f7f0f32,47255677
